graph_id,algo,total_cost,execution_time_ms,operations_count,vertices,edges
1,Prim,16.0000,1.52,57,5,7
1,Kruskal,16.0000,1.20,75,5,7
2,Prim,24.0000,0.03,67,6,8
2,Kruskal,24.0000,0.05,96,6,8
3,Prim,31.0000,0.03,91,8,10
3,Kruskal,31.0000,0.04,135,8,10
4,Prim,40.0000,0.04,93,9,10
4,Kruskal,40.0000,0.04,139,9,10
5,Prim,41.0000,0.03,107,10,11
5,Kruskal,41.0000,0.05,165,10,11
6,Prim,55.0000,0.03,109,11,11
6,Kruskal,55.0000,0.05,172,11,11
7,Prim,62.0000,0.02,111,12,11
7,Kruskal,62.0000,0.05,178,12,11
8,Prim,68.0000,0.03,121,13,12
8,Kruskal,68.0000,0.05,196,13,12
9,Prim,71.0000,0.03,131,14,13
9,Kruskal,71.0000,0.07,211,14,13
10,Prim,86.0000,0.03,141,15,14
10,Kruskal,86.0000,0.06,232,15,14
11,Prim,93.0000,0.03,151,16,15
11,Kruskal,93.0000,0.06,248,16,15
12,Prim,101.0000,0.04,161,17,16
12,Kruskal,101.0000,0.04,264,17,16
13,Prim,117.0000,0.04,171,18,17
13,Kruskal,117.0000,0.04,283,18,17
14,Prim,122.0000,0.06,181,19,18
14,Kruskal,122.0000,0.03,300,19,18
15,Prim,129.0000,0.05,191,20,19
15,Kruskal,129.0000,0.03,318,20,19
16,Prim,136.0000,0.06,201,21,20
16,Kruskal,136.0000,0.04,336,21,20
17,Prim,145.0000,0.05,211,22,21
17,Kruskal,145.0000,0.21,356,22,21
18,Prim,147.0000,0.08,221,23,22
18,Kruskal,147.0000,0.04,379,23,22
19,Prim,162.0000,0.06,231,24,23
19,Kruskal,162.0000,0.04,393,24,23
20,Prim,175.0000,0.11,241,25,24
20,Kruskal,175.0000,0.04,415,25,24
21,Prim,177.0000,0.06,251,26,25
21,Kruskal,177.0000,0.04,429,26,25
22,Prim,189.0000,0.06,261,27,26
22,Kruskal,189.0000,0.04,447,27,26
23,Prim,223.0000,0.08,291,30,29
23,Kruskal,223.0000,0.03,505,30,29
24,Prim,233.0000,0.13,331,32,35
24,Kruskal,233.0000,0.05,583,32,35
25,Prim,261.0000,0.13,353,35,37
25,Kruskal,261.0000,0.05,634,35,37
26,Prim,272.0000,0.13,367,36,38
26,Kruskal,272.0000,0.05,646,36,38
27,Prim,284.0000,0.13,385,37,39
27,Kruskal,284.0000,0.06,667,37,39
28,Prim,291.0000,0.12,391,38,41
28,Kruskal,291.0000,0.05,703,38,41
